Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34506912,The Prince and the Dressmaker,Jen Wang,"Wang, Jen",,"=""162672363X""","=""9781626723634""",4,4.33,First Second,Paperback,277,2018,2018,,2024/07/12,,,read,,,,1,0
56197428,"A Lot Like Adiós (Primas of Power, #2)",Alexis Daria,"Daria, Alexis",,"=""0062959964""","=""9780062959966""",4,3.70,Avon,Paperback,387,2021,2021,,2024/07/12,,,read,,,,1,0
52886627,"You Had Me at Hola (Primas of Power, #1)",Alexis Daria,"Daria, Alexis",,"=""006295993X""","=""9780062959935""",4,3.68,Avon,ebook,384,2020,2020,,2024/07/12,,,read,,,,1,0
59088365,Honey & Spice,Bolu Babalola,"Babalola, Bolu",,"=""0063141485""","=""9780063141483""",5,3.91,William Morrow,Hardcover,368,2022,2022,,2024/07/12,,,read,,,,1,0
202322798,The Fabric of Our Souls,K.M. Moronova,"Moronova, K.M.",,"=""""","=""9798863398570""",4,4.14,Independently published,Paperback,362,2023,2023,2024/02/13,2024/07/12,,,read,,,,1,0
60417459,Better Than Fiction,Alexa  Martin,"Martin, Alexa",,"=""0593337220""","=""9780593337226""",4,3.41,Berkley,Paperback,336,2022,2022,2024/02/13,2024/07/12,,,read,,,,1,0
49397758,Grown,Tiffany D. Jackson,"Jackson, Tiffany D.",,"=""0062840355""","=""9780062840356""",4,4.24,Quill Tree Books,Hardcover,384,2020,2020,,2024/07/12,,,read,,,,1,0
123255391,"The Graham Effect (Campus Diaries, #1)",Elle Kennedy,"Kennedy, Elle",,"=""1990101186""","=""9781990101182""",4,4.18,EKI,Kindle Edition,498,2023,2023,,2024/07/12,,,read,,,,1,0
199244880,"Once You're Mine (Possessing Her, #1)",Morgan Bridges,"Bridges, Morgan",,"=""""","=""""",3,3.64,Building Bridges Publishing,Kindle Edition,308,2023,2023,2024/02/13,2024/07/12,,,read,,,,1,0
59420466,"Give Me More (Salacious Players Club, #3)",Sara Cate,"Cate, Sara",,"=""""","=""""",4,4.16,,Kindle Edition,358,2022,2022,2024/03/13,2024/07/12,,,read,,,,1,0
60416566,"Praise (Salacious Players Club, #1)",Sara Cate,"Cate, Sara",,"=""""","=""9781956830149""",4,4.11,Sara Cate Books LLC,Paperback,341,2022,2022,2024/02/19,2024/07/12,,,read,,,,1,0
58283080,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,"Bailey, Tessa",,"=""0063045699""","=""9780063045699""",4,3.89,Avon,Paperback,353,2022,2022,,2024/07/12,,,read,4.5 ⭐️,,,1,0
39338454,"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,"Hoang, Helen",,"=""0451490827""","=""9780451490827""",3,3.81,Berkley,Paperback,320,2019,2019,,2024/07/12,,,read,,,,1,0
50056075,"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,"Hoang, Helen",,"=""0451490843""","=""9780451490841""",3,3.93,Berkley,Paperback,339,2021,2021,,2024/07/12,,,read,,,,1,0
181344829,"Bride (Bride, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",4,3.99,Berkley,Kindle Edition,410,2024,2024,2024/04/13,2024/07/12,,,read,,,,1,0
38350873,The Worst Best Man,Lucy Score,"Score, Lucy",,"=""""","=""""",3,4.08,That's What She Said Publishing,ebook,448,2018,2018,2024/04/01,2024/07/12,,,read,,,,1,0
75491526,"King of Sloth (Kings of Sin, #4)",Ana Huang,"Huang, Ana",,"=""""","=""""",5,4.00,,Kindle Edition,466,2024,2024,2024/04/13,2024/07/12,,,read,,,,1,0
124943221,"King of Greed (Kings of Sin, #3)",Ana Huang,"Huang, Ana",,"=""""","=""""",3,3.92,,Kindle Edition,352,2023,2023,,2024/07/12,,,read,,,,1,0
62994279,"King of Pride (Kings of Sin, #2)",Ana Huang,"Huang, Ana",,"=""""","=""""",4,3.92,,Kindle Edition,358,2023,2023,,2024/07/12,,,read,,,,1,0
